,Posemo,Negemo,Work,Date,Status_id,length_messages
314,3.0,2.0,,2016-03-16 16:57:01,261858613983318_555858227916687,80
315,2.0,3.0,2.0,2016-03-16 16:56:48,261858613983318_555858187916691,95
316,1.0,1.0,2.0,2016-03-16 16:56:29,261858613983318_555858154583361,32
317,4.0,5.0,9.0,2016-03-16 16:56:08,261858613983318_555858047916705,173
318,,1.0,,2016-03-16 16:53:45,261858613983318_555856824583494,14
319,9.0,1.0,3.0,2016-03-16 16:53:29,261858613983318_555856637916846,118
320,7.0,,,2016-03-16 16:52:44,261858613983318_555856184583558,55
321,2.0,2.0,2.0,2016-03-13 14:59:46,261858613983318_554512858051224,77
322,,5.0,,2016-03-13 14:59:35,261858613983318_554512828051227,69
323,1.0,1.0,,2016-03-13 14:59:22,261858613983318_554512691384574,38
324,10.0,5.0,1.0,2016-03-13 14:59:04,261858613983318_554512651384578,157
325,8.0,9.0,3.0,2016-03-13 14:58:47,261858613983318_554512588051251,192
326,,2.0,,2016-03-13 14:58:24,261858613983318_554512394717937,31
327,1.0,2.0,2.0,2016-03-13 14:58:11,261858613983318_554512268051283,71
328,3.0,,,2016-03-13 14:57:56,261858613983318_554512244717952,41
329,3.0,3.0,,2016-03-13 14:57:41,261858613983318_554512161384627,97
330,3.0,4.0,1.0,2016-03-13 14:57:23,261858613983318_554512088051301,62
331,2.0,4.0,8.0,2016-03-13 14:57:06,261858613983318_554512061384637,105
332,2.0,8.0,,2016-03-13 14:56:36,261858613983318_554511988051311,82
333,,1.0,,2016-03-12 13:46:53,261858613983318_554082584760918,14
334,2.0,,1.0,2016-03-12 13:46:17,261858613983318_554082474760929,60
335,6.0,1.0,1.0,2016-03-12 13:46:06,261858613983318_554082418094268,62
336,1.0,2.0,,2016-03-12 13:45:54,261858613983318_554082381427605,28
337,6.0,,3.0,2016-03-12 13:45:38,261858613983318_554082348094275,66
338,1.0,3.0,3.0,2016-03-12 13:45:25,261858613983318_554082288094281,58
339,9.0,9.0,1.0,2016-03-12 13:44:16,261858613983318_554082144760962,210
340,2.0,4.0,,2016-03-12 13:43:39,261858613983318_554081924760984,72
341,3.0,1.0,2.0,2016-03-12 13:43:25,261858613983318_554081881427655,50
342,,1.0,2.0,2016-03-12 13:43:10,261858613983318_554081821427661,20
343,7.0,5.0,1.0,2016-03-12 13:35:35,261858613983318_554080304761146,125
344,3.0,6.0,,2016-03-12 13:33:17,261858613983318_554079881427855,60
345,2.0,2.0,,2016-03-12 13:32:53,261858613983318_554079811427862,41
346,,,,2016-03-12 13:32:40,261858613983318_554079771427866,15
